NM_RAZAO_SOCIAL;CD_PROCESSO_SUSEP;NR_PROPOSTA;ID_PROPOSTA;DT_PROPOSTA;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;NM_SEGURADO;NR_DOCUMENTO_SEGURADO;NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;LATITUDE;NR_GRAU_LAT;NR_MIN_LAT;NR_SEG_LAT;LONGITUDE;NR_GRAU_LONG;NR_MIN_LONG;NR_SEG_LONG;NR_DECIMAL_LATITUDE;NR_DECIMAL_LONGITUDE;NM_CLASSIF_PRODUTO;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_ANIMAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;NR_APOLICE;DT_APOLICE;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Allianz Seguros S.A;15414002759200717;131300718;2011806;10/02/2025;10/02/2025;31/12/2025;ANONIMIZADO;***;Jataí;GO;S;18;2;18;W;51;11;57;-;-;PRODUTIVIDADE;Sorgo;93,69;-;3428,57;2400;0,700000292;224855,91;23609,27;0,104997329;9443,7;5177202579110002740;13/02/2025;2025;5211909;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51305637;1089249;03/03/2020;03/03/2020;03/03/2021;ANONIMIZADO;***;Palmas;PR;S;26;23;43;W;52;5;28;-;-;CUSTEIO;Milho 2ª safra;32;-;2000;1300;0,65;54400;4352;0,08;1740,8;10289;05/03/2020;2020;4117602;606,12; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;57776637;1677728;10/01/2023;10/01/2023;10/01/2024;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,364601;-52,513553;CUSTEIO;Milho 2ª safra;36;-;4062;2640,3;0,65;363312;58536,54;0,161119203;23414,61;3753;16/01/2023;2023;4124608;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;55763751;1575622;21/01/2022;21/01/2022;21/01/2023;ANONIMIZADO;***;São Carlos do Ivaí;PR;-;-;-;-;-;-;-;-;-23,2707;-52,4852;CUSTEIO;Milho 2ª safra;89;-;5248;3411,2;0,65;297466,4;34704,4;0,116666622;13881,76;24375;26/01/2022;2022;4124608;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50405386;1045675;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;13;46;55;W;55;39;13;-;-;CUSTEIO;Soja;431,93;-;3750;3000;0,8;907053;36182,31;0,039889962;10854,69;8153;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429712;1104396;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;26;W;53;43;12;-;-;CUSTEIO;Trigo;13,9;-;3000;1950;0,65;20366,84;3258,68;0,159999293;1140,54;11424;07/04/2020;2020;4314308;10016,59; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;51429707;1096657;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;34;W;53;43;47;-;-;CUSTEIO;Trigo;14,8;-;3000;1950;0,65;21685,55;3469,68;0,159999631;1214,39;11368;06/04/2020;2020;4314308;19820,59; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;53519739;1292421;25/01/2021;25/01/2021;25/01/2022;ANONIMIZADO;***;Reserva do Iguaçu;PR;S;25;48;42;W;51;52;18;-;-;CUSTEIO;Feijão 1ª safra;18;-;2600;1690;0,65;54000;3846;0,071222222;961,5;17629;27/01/2021;2021;4121752;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;50457111;1045555;12/09/2019;12/09/2019;11/09/2020;ANONIMIZADO;***;São Borja;RS;S;28;47;19;W;55;44;22;-;-;CUSTEIO;Soja;80;-;3300;2475;0,75;176000;16201,46;0,09205375;5670,51;8198;27/09/2019;2019;4318002;146825,33; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;52006749;1179260;31/07/2020;31/07/2020;31/07/2021;ANONIMIZADO;***;Paraúna;GO;S;17;1;11;W;50;40;53;-;-;CUSTEIO;Soja;78,88;-;3750;3000;0,8;303688;11843,83;0,038999993;2960,96;13133;03/08/2020;2020;5216403;53995,73; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;60049472;1989670;27/11/2024;27/11/2024;27/11/2025;ANONIMIZADO;***;Jataí;GO;-;-;-;-;-;-;-;-;-18,091882;-51,929193;CUSTEIO;Milho 2ª safra;147;-;5787;4050,9;0,7;763860;71955,43;0,094199762;11765,05;9621;06/01/2025;2025;5211909;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50418019;1046657;05/09/2019;05/09/2019;04/09/2020;ANONIMIZADO;***;Rio Grande;RS;S;32;12;39;W;52;31;30;-;-;CUSTEIO;Soja;46;-;2800;1820;0,65;105800;8657,14;0,08182552;3030;8183;27/09/2019;2019;4315602;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429709;1104385;01/04/2020;01/04/2020;01/04/2021;ANONIMIZADO;***;Pejuçara;RS;S;28;25;40;W;53;42;59;-;-;CUSTEIO;Trigo;9;-;3000;1950;0,65;13187,16;2109,95;0,160000334;738,48;11421;07/04/2020;2020;4314308;12197,65; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;60055861;1985086;11/12/2024;11/12/2024;11/12/2025;ANONIMIZADO;***;Arapoti;PR;-;-;-;-;-;-;-;-;-24,125798;-49,872752;CUSTEIO;Trigo;44;-;3700;2405;0,65;193585,18;19368,9;0,10005363;7747,56;9704;06/01/2025;2025;4101606;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50721185;1049687;26/10/2019;26/10/2019;25/10/2020;ANONIMIZADO;***;Cacequi;RS;S;29;56;36;W;54;47;9;-;-;CUSTEIO;Soja;102;-;3300;2145;0,65;198872,46;12926,71;0,065000001;4524,35;8678;05/11/2019;2019;4302907;158678,7; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;60053650;1984600;06/12/2024;06/12/2024;06/12/2025;ANONIMIZADO;***;Santa Fé;PR;-;-;-;-;-;-;-;-;-22,998389;-51,823993;CUSTEIO;Milho 2ª safra;35;-;4560;3420;0,75;292752,85;19117,34;0,065301977;7646,93;9652;06/01/2025;2025;4123402;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;55816033;1604666;31/01/2022;31/01/2022;31/01/2023;ANONIMIZADO;***;Ângulo;PR;-;-;-;-;-;-;-;-;-23,2194;-51,9429;CUSTEIO;Milho 2ª safra;11;-;6000;3900;0,65;49980;5831;0,116666667;2332,4;24830;24/03/2022;2022;4101150;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50615488;1046433;07/10/2019;07/10/2019;06/10/2020;ANONIMIZADO;***;Catalão;GO;S;18;1;41;W;47;49;24;-;-;CUSTEIO;Soja;34;-;3750;2625;0,7;79591,96;2803,41;0,035222276;981,19;8348;15/10/2019;2019;5205109;10299,2; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;60054241;1984897;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Sabáudia;PR;-;-;-;-;-;-;-;-;-23,401868;-51,581552;CUSTEIO;Milho 2ª safra;88;-;4640;3248;0,7;758955,87;48031,76;0,063286631;19212,7;9674;06/01/2025;2025;4122701;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51338690;1104175;10/03/2020;10/03/2020;10/03/2021;ANONIMIZADO;***;São João do Ivaí;PR;S;24;2;56;W;51;49;48;-;-;CUSTEIO;Milho 2ª safra;160;-;5500;3575;0,65;304000;31920;0,105;12768;10463;11/03/2020;2020;4125001;168480,24; GRANIZO
