NM_RAZAO_SOCIAL;CD_PROCESSO_SUSEP;NR_PROPOSTA;ID_PROPOSTA;DT_PROPOSTA;DT_INICIO_VIGENCIA;DT_FIM_VIGENCIA;NM_SEGURADO;NR_DOCUMENTO_SEGURADO;NM_MUNICIPIO_PROPRIEDADE;SG_UF_PROPRIEDADE;LATITUDE;NR_GRAU_LAT;NR_MIN_LAT;NR_SEG_LAT;LONGITUDE;NR_GRAU_LONG;NR_MIN_LONG;NR_SEG_LONG;NR_DECIMAL_LATITUDE;NR_DECIMAL_LONGITUDE;NM_CLASSIF_PRODUTO;NM_CULTURA_GLOBAL;NR_AREA_TOTAL;NR_ANIMAL;NR_PRODUTIVIDADE_ESTIMADA;NR_PRODUTIVIDADE_SEGURADA;NivelDeCobertura;VL_LIMITE_GARANTIA;VL_PREMIO_LIQUIDO;PE_TAXA;VL_SUBVENCAO_FEDERAL;NR_APOLICE;DT_APOLICE;ANO_APOLICE;CD_GEOCMU;VALOR_INDENIZAÇÃO;EVENTO_PREPONDERANTE
Aliança do Brasil Seguros S/A.;15414901479201927;50687131;1048816;15/10/2019;15/10/2019;14/10/2020;ANONIMIZADO;***;Ivaí;PR;S;24;54;16;W;50;56;27;-;-;CUSTEIO;Soja;15,32;-;3570;2677,5;0,75;33826,1;2225,01;0,065777905;778,75;8547;28/10/2019;2019;4111407;20904,53; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;50405400;1051566;31/08/2019;31/08/2019;30/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;14;3;1;W;55;28;25;-;-;CUSTEIO;Soja;740;-;3750;3000;0,8;2220000;88555,75;0,039889977;26566,73;8162;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;57890264;1678269;20/01/2023;20/01/2023;20/01/2024;ANONIMIZADO;***;Quinta do Sol;PR;-;-;-;-;-;-;-;-;-23,90358;-52,208461;CUSTEIO;Milho 2ª safra;22;-;4165;2707,25;0,65;171600;18543,92;0,108064802;7417,56;3851;27/01/2023;2023;4121109;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;57868831;1678003;16/01/2023;16/01/2023;16/01/2024;ANONIMIZADO;***;Guaraci;PR;-;-;-;-;-;-;-;-;-22,916847;-51,584716;CUSTEIO;Milho 2ª safra;20;-;4062;2640,3;0,65;95229,02;10290,9;0,108064747;4116,36;3790;19/01/2023;2023;4109203;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;55816057;1604616;29/01/2022;29/01/2022;29/01/2023;ANONIMIZADO;***;Ângulo;PR;-;-;-;-;-;-;-;-;-23,2477;-51,956;CUSTEIO;Milho 2ª safra;73;-;6000;3900;0,65;370000;43166,66;0,116666649;17266,66;24839;24/03/2022;2022;4101150;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;51429494;1117769;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Nova Xavantina;MT;S;14;52;15;W;52;21;34;-;-;CUSTEIO;Soja;60;-;3750;2625;0,7;133485;4701,64;0,035222235;1175,41;11170;02/04/2020;2020;5106257;9352,12; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;57765542;1679234;09/01/2023;09/01/2023;09/01/2024;ANONIMIZADO;***;Candido Mota;SP;-;-;-;-;-;-;-;-;-22,752935;-50,443457;CUSTEIO;Milho 2ª safra;12;-;4662;3030,3;0,65;43343,39;5890,35;0,135899615;2356,14;3733;16/01/2023;2023;3510005;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;55816015;1604678;31/01/2022;31/01/2022;31/01/2023;ANONIMIZADO;***;Ivatuba;PR;-;-;-;-;-;-;-;-;-23,5868;-52,1828;CUSTEIO;Milho 2ª safra;62;-;6000;3900;0,65;343200;40040;0,116666667;16016;24823;24/03/2022;2022;4111605;93150,15; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50457122;1047064;12/09/2019;12/09/2019;11/09/2020;ANONIMIZADO;***;São Luiz Gonzaga;RS;S;28;21;25;W;55;1;50;-;-;CUSTEIO;Soja;25;-;3300;2310;0,7;50000;4091,28;0,0818256;1431,95;8233;01/10/2019;2019;4318903;25330; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;51816327;1131811;29/06/2020;29/06/2020;29/06/2021;ANONIMIZADO;***;Arroio Grande;RS;S;32;5;38;W;52;50;6;-;-;CUSTEIO;Trigo;20;-;2600;1690;0,65;40000;6400;0,16;2560;12657;30/06/2020;2020;4301305;13328; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;50411136;1045573;04/09/2019;07/09/2019;06/09/2020;ANONIMIZADO;***;Catalão;GO;S;17;56;13;W;47;23;20;-;-;CUSTEIO;Soja;360;-;3750;2437,5;0,65;864000;29555,4;0,034207639;10344,39;8177;27/09/2019;2019;5205109;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;60055862;1985170;11/12/2024;11/12/2024;11/12/2025;ANONIMIZADO;***;Arapoti;PR;-;-;-;-;-;-;-;-;-24,116948;-49,869609;CUSTEIO;Trigo;19;-;3700;2405;0,65;82023,96;8206,8;0,100053692;3282,72;9705;06/01/2025;2025;4101606;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;52006748;1179191;31/07/2020;31/07/2020;31/07/2021;ANONIMIZADO;***;Paraúna;GO;S;17;1;5;W;50;40;8;-;-;CUSTEIO;Soja;187,52;-;3750;3000;0,8;721952;28156,12;0,038999989;7039,03;13132;03/08/2020;2020;5216403;293401,29; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;57765551;1679306;09/01/2023;09/01/2023;09/01/2024;ANONIMIZADO;***;Angélica;MS;-;-;-;-;-;-;-;-;-21,965912;-53,783601;CUSTEIO;Milho 2ª safra;223;-;3762;2445,3;0,65;379350;40994,38;0,108064795;16397,75;3742;16/01/2023;2023;5000856;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;54166039;1345313;30/04/2021;30/04/2021;30/04/2022;ANONIMIZADO;***;Candói;PR;S;25;23;50;W;51;59;9;-;-;CUSTEIO;Trigo;14,28;-;4500;3150;0,7;214200;2389,52;0,011155556;955,81;19256;06/05/2021;2021;4104428;0; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;51524802;1130265;10/09/2019;10/09/2019;09/09/2020;ANONIMIZADO;***;Rio Verde;GO;S;17;55;15;W;50;43;45;-;-;CUSTEIO;Milho 2ª safra;30;-;8000;5200;0,65;57000;3135;0,055;1254;11980;06/05/2020;2020;5218805;10066,06; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;51247595;1089362;14/02/2020;14/02/2020;13/02/2021;ANONIMIZADO;***;Vitorino;PR;S;26;9;4;W;52;49;1;-;-;CUSTEIO;Milho 2ª safra;7,26;-;6500;4225;0,65;15789,34;1570,62;0,099473442;549,72;9913;17/02/2020;2020;4128708;13889,17; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;51988631;1171593;28/07/2020;28/07/2020;28/07/2021;ANONIMIZADO;***;Cascavel;PR;S;25;2;1;W;53;14;7;-;-;CUSTEIO;Milho 1ª safra;363,6;-;10000;7000;0,7;1420036,16;67372,83;0,047444447;16843,21;13058;29/07/2020;2020;4104808;190000,84; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;60055288;1984983;10/12/2024;10/12/2024;10/12/2025;ANONIMIZADO;***;Atalaia;PR;-;-;-;-;-;-;-;-;-23,149957;-51,978079;CUSTEIO;Milho 2ª safra;18;-;4560;3420;0,75;164172,96;10605,08;0,064596996;4242,03;9698;06/01/2025;2025;4102208;-;-
Allianz Seguros S.A;15414002759200717;131436907;2013710;19/02/2025;19/02/2025;31/12/2025;ANONIMIZADO;***;Jataí;GO;S;18;5;54;W;51;49;28;-;-;PRODUTIVIDADE;Milho 2ª safra;113;-;6497,14;4548;0,700000308;513923,77;52009,03;0,101199892;20803,6;5177202579110003602;24/02/2025;2025;5211909;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;54047773;1346579;31/03/2021;31/03/2021;31/03/2022;ANONIMIZADO;***;Pinhão;PR;S;25;40;8;W;51;39;44;-;-;CUSTEIO;Cevada;33,78;-;5500;3850;0,7;506700;5348,5;0,010555556;2139,4;18819;05/04/2021;2021;4119301;3554,35; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51547778;1125973;07/05/2020;07/05/2020;07/05/2021;ANONIMIZADO;***;Quedas do Iguaçu;PR;S;25;27;10;W;52;58;30;-;-;CUSTEIO;Trigo;19,2;-;2820;1833;0,65;29328;4692,47;0,159999659;1876,99;12033;08/05/2020;2020;4120903;20022,2; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;51338644;1146351;07/03/2020;07/03/2020;07/03/2021;ANONIMIZADO;***;Palma Sola;SC;S;26;20;54;W;53;12;34;-;-;CUSTEIO;Feijão 1ª safra;55,18;-;2400;1560;0,65;110360;8559,03;0,077555545;2139,75;10439;11/03/2020;2020;4212007;7646,14; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;54495694;1372858;23/06/2021;23/06/2021;23/06/2022;ANONIMIZADO;***;Colônia Jordãozinho;PR;S;25;31;50;W;51;45;8;-;-;CUSTEIO;Cevada;20;-;5500;3850;0,7;120000;5620;0,046833333;2248;20409;24/06/2021;2021;4109401;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51409870;1093584;26/03/2020;26/03/2020;26/03/2021;ANONIMIZADO;***;Teodoro Sampaio;SP;S;22;27;49;W;52;16;34;-;-;CUSTEIO;Milho 2ª safra;31,94;-;4701;3055,65;0,65;49593,24;5207,28;0,104999794;2082,91;10895;27/03/2020;2020;3554300;17222,82; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;51042476;1094607;06/01/2020;06/01/2020;05/01/2021;ANONIMIZADO;***;Corbélia;PR;S;24;46;25;W;53;12;12;-;-;CUSTEIO;Milho 2ª safra;50,3;-;6500;4225;0,65;123968,37;13016,67;0,104999929;4555,83;9706;07/01/2020;2020;4106308;29052,07; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;51414092;1096050;27/03/2020;27/03/2020;27/03/2021;ANONIMIZADO;***;São Borja;RS;S;28;36;47;W;55;52;15;-;-;CUSTEIO;Trigo;90;-;2842;1847,3;0,65;180000;28800;0,16;10080;10917;30/03/2020;2020;4318002;151434; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50405407;1047077;03/09/2019;03/09/2019;02/09/2020;ANONIMIZADO;***;Santa Helena de Goiás;GO;S;17;53;59;W;50;27;23;-;-;CUSTEIO;Soja;23;-;3750;2625;0,7;55330,64;1993,33;0,03602579;697,67;8256;08/10/2019;2019;5219308;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;60054245;1984884;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Arapongas;PR;-;-;-;-;-;-;-;-;-23,366507;-51,521214;CUSTEIO;Milho 2ª safra;40;-;4640;3248;0,7;356966,53;22253,08;0,062339402;8901,23;9678;06/01/2025;2025;4101507;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51429515;1118020;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Nova Xavantina;MT;S;14;52;15;W;52;21;14;-;-;CUSTEIO;Soja;103;-;3750;2625;0,7;229149,25;8071,15;0,035222241;2017,79;11255;03/04/2020;2020;5106257;45934,36; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;51524529;1125094;18/04/2020;18/04/2020;18/04/2021;ANONIMIZADO;***;Campo Novo;RS;S;27;39;10;W;53;49;49;-;-;CUSTEIO;Trigo;109,6;-;2829;1838,85;0,65;175360;28057,6;0,16;9820,16;11643;04/05/2020;2020;4304002;116456,58; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50411135;1045504;04/09/2019;04/09/2019;03/09/2020;ANONIMIZADO;***;Catalão;GO;S;17;57;6;W;47;21;45;-;-;CUSTEIO;Soja;360;-;3750;2437,5;0,65;864000;29555,4;0,034207639;10344,39;8176;27/09/2019;2019;5205109;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;52872367;1278291;01/10/2020;01/10/2020;01/10/2021;ANONIMIZADO;***;São Gabriel;RS;S;30;10;19;W;54;2;15;-;-;CUSTEIO;Soja;22;-;3000;1950;0,65;55000;4180;0,076;1045;14686;09/10/2020;2020;4318309;15361,5; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;55799193;1554936;27/01/2022;27/01/2022;27/01/2023;ANONIMIZADO;***;Ubiratã;PR;-;-;-;-;-;-;-;-;-24,4265;-53,0388;CUSTEIO;Milho 2ª safra;33;-;7200;4680;0,65;154001,54;17966,84;0,116666626;7186,74;24616;31/01/2022;2022;4128005;83125,46; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;54652077;1404583;12/07/2021;12/07/2021;12/07/2022;ANONIMIZADO;***;Palmas;PR;S;26;23;33;W;52;4;-;-;-;CUSTEIO;Trigo;130;-;3163,6;2056,34;0,65;1950000;49179;0,02522;19671,6;20621;15/07/2021;2021;4117602;139913,62; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51554002;1124966;08/05/2020;08/05/2020;08/05/2021;ANONIMIZADO;***;Carazinho;RS;S;28;21;18;W;52;55;54;-;-;CUSTEIO;Trigo;38;-;3050;1982,5;0,65;39900;6384;0,16;2553,6;12037;11/05/2020;2020;4304705;39900; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50611887;1059216;04/10/2019;04/10/2019;03/10/2020;ANONIMIZADO;***;Cianorte;PR;S;23;46;35;W;52;40;56;-;-;CUSTEIO;Soja;67,76;-;3500;2275;0,65;135520;11790,24;0,087;4126,58;8385;16/10/2019;2019;4105508;67216,32; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;55816016;1604640;31/01/2022;31/01/2022;31/01/2023;ANONIMIZADO;***;Ângulo;PR;-;-;-;-;-;-;-;-;-23,2552;-51,9482;CUSTEIO;Milho 2ª safra;19;-;6000;3900;0,65;81690;9530,5;0,116666667;3812,2;24824;24/03/2022;2022;4101150;20203,6; VENTOS FORTES/FRIOS
Aliança do Brasil Seguros S/A.;15414901479201927;50405378;1038745;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Santa Helena de Goiás;GO;S;17;44;54;W;50;30;40;-;-;CUSTEIO;Cana-de-açúcar;142;-;120;84;0,7;491109,84;9544,01;0,019433555;3340,4;8148;27/09/2019;2019;5219308;5396,83; INCÊNDIO
Aliança do Brasil Seguros S/A.;15414901479201927;50457119;1046023;12/09/2019;12/09/2019;11/09/2020;ANONIMIZADO;***;São Luiz Gonzaga;RS;S;28;21;26;W;55;4;47;-;-;CUSTEIO;Soja;36;-;3300;2310;0,7;72000;5891,44;0,081825556;2062;8230;01/10/2019;2019;4318903;34178,4; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;54942507;1503446;03/09/2021;03/09/2021;03/09/2022;ANONIMIZADO;***;Garruchos;RS;S;28;13;13;W;55;32;25;-;-;CUSTEIO;Soja;72;-;2800;1820;0,65;252000,01;22399,98;0,088888806;4480;21819;08/09/2021;2021;4308656;134920,38; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;51874548;1165888;09/07/2020;09/07/2020;09/07/2021;ANONIMIZADO;***;Rolador;RS;S;28;11;37;W;54;48;49;-;-;CUSTEIO;Trigo;25,88;-;2933;1906,45;0,65;36232;5797,12;0,16;2318,85;12813;13/07/2020;2020;4315958;33593,24; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50405388;1045593;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Nova Mutum;MT;S;13;45;25;W;55;38;20;-;-;CUSTEIO;Soja;480,13;-;3750;3000;0,8;1008273;40219,99;0,03988998;12066;8155;27/09/2019;2019;5106224;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50620464;1046589;08/10/2019;08/10/2019;07/10/2020;ANONIMIZADO;***;Cacequi;RS;S;29;47;56;W;54;22;33;-;-;CUSTEIO;Soja;92;-;3300;2145;0,65;192489,76;12511,83;0,064999977;4379,14;8317;14/10/2019;2019;4302907;72956,97; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;51834869;1146944;02/07/2020;02/07/2020;02/07/2021;ANONIMIZADO;***;Pelotas;RS;S;31;40;53;W;52;16;6;-;-;CUSTEIO;Soja;120;-;2835;1842,75;0,65;300000;22800;0,076;5700;12779;06/07/2020;2020;4314407;88592,58; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;57765543;1679377;09/01/2023;09/01/2023;09/01/2024;ANONIMIZADO;***;Itaquiraí;MS;-;-;-;-;-;-;-;-;-23,488297;-54,060513;CUSTEIO;Milho 2ª safra;28;-;3762;2445,3;0,65;191952;41458,75;0,215984986;16583,5;3734;16/01/2023;2023;5004601;0; DEMAIS CAUSAS
Aliança do Brasil Seguros S/A.;15414901479201927;52939111;1277899;22/10/2020;22/10/2020;22/10/2021;ANONIMIZADO;***;São Luiz Gonzaga;RS;S;28;31;2;W;54;42;45;-;-;CUSTEIO;Soja;114;-;3300;2475;0,75;342000;30780;0,09;7695;15779;29/10/2020;2020;4318903;34518,34; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;60053133;1984546;05/12/2024;05/12/2024;05/12/2025;ANONIMIZADO;***;Centenário do Sul;PR;-;-;-;-;-;-;-;-;-22,765501;-51,530072;CUSTEIO;Milho 2ª safra;46;-;4240;3180;0,75;394459,52;26745,32;0,067802445;10698,12;9632;06/01/2025;2025;4105102;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50405377;1045587;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Itapejara d'Oeste;PR;S;26;2;3;W;52;47;41;-;-;CUSTEIO;Soja;46,7;-;3575;2502,5;0,7;101245,6;5937,21;0,058641659;2078,02;8147;27/09/2019;2019;4111209;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50892823;1084153;28/11/2019;28/11/2019;27/11/2020;ANONIMIZADO;***;Confresa;MT;S;10;34;26;W;51;41;38;-;-;CUSTEIO;Soja;191;-;3750;3000;0,8;573000;22347;0,039;6704,1;9226;02/12/2019;2019;5103353;191614,23; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;60054242;1984697;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Arapongas;PR;-;-;-;-;-;-;-;-;-23,47495;-51,393762;CUSTEIO;Milho 2ª safra;35;-;4640;3480;0,75;315541,12;20427,82;0,064739011;8171,12;9675;06/01/2025;2025;4101507;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50405366;1051764;29/08/2019;29/08/2019;28/08/2020;ANONIMIZADO;***;Nova Marilândia;MT;S;14;10;24;W;57;5;49;-;-;CUSTEIO;Soja;860;-;3750;3000;0,8;1806000;72041,3;0,039889978;21612,39;8144;27/09/2019;2019;5108857;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50434111;1045425;09/09/2019;09/09/2019;08/09/2020;ANONIMIZADO;***;Terra Boa;PR;S;23;41;53;W;52;21;20;-;-;CUSTEIO;Soja;65;-;3500;2450;0,7;136500;9959,19;0,072961099;3485,72;8194;27/09/2019;2019;4127205;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50615531;1046637;07/10/2019;07/10/2019;06/10/2020;ANONIMIZADO;***;Ipê;RS;S;28;41;14;W;51;22;58;-;-;CUSTEIO;Soja;36;-;2800;1820;0,65;75600;6048;0,08;2116,8;8399;16/10/2019;2019;4310439;56185,92; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;51042477;1094627;06/01/2020;06/01/2020;05/01/2021;ANONIMIZADO;***;Corbélia;PR;S;24;48;6;W;53;13;37;-;-;CUSTEIO;Milho 2ª safra;31,4;-;6500;4225;0,65;77387,81;8125,72;0,104999999;2844;9707;07/01/2020;2020;4106308;16537,78; INUNDAÇÃO/TROMBA D´ÁGUA
Aliança do Brasil Seguros S/A.;15414901479201927;54310022;1355982;04/06/2021;04/06/2021;04/06/2022;ANONIMIZADO;***;Colônia Vitória;PR;S;25;33;40;W;51;33;44;-;-;CUSTEIO;Cevada;18,84;-;5500;3850;0,7;292020;5470,51;0,01873334;2188,2;19886;09/06/2021;2021;4109401;0; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51357715;1146660;12/03/2020;12/03/2020;12/03/2021;ANONIMIZADO;***;Marmeleiro;PR;S;26;20;8;W;53;7;33;-;-;CUSTEIO;Feijão 1ª safra;20;-;2200;1430;0,65;42850;3428;0,08;857;10536;16/03/2020;2020;4115408;25984,24; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50405410;1045652;03/09/2019;03/09/2019;02/09/2020;ANONIMIZADO;***;Ibiraci;MG;S;20;31;48;W;47;4;11;-;-;CUSTEIO;Café;10;-;3450;2415;0,7;150000;6682,42;0,044549467;2338,85;8170;27/09/2019;2019;3129707;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;60053646;1984567;06/12/2024;06/12/2024;06/12/2025;ANONIMIZADO;***;Floraí;PR;-;-;-;-;-;-;-;-;-23,322014;-52,409239;CUSTEIO;Milho 2ª safra;38;-;4480;3360;0,75;337514,24;23690,42;0,070190876;9476,16;9648;06/01/2025;2025;4107801;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;60055278;1985026;10/12/2024;10/12/2024;10/12/2025;ANONIMIZADO;***;Mandaguaçu;PR;-;-;-;-;-;-;-;-;-23,16503;-51,973523;CUSTEIO;Milho 2ª safra;44;-;4240;3180;0,75;369451,52;22771,18;0,061635096;9108,47;9688;06/01/2025;2025;4114104;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;51379275;1146742;17/03/2020;17/03/2020;17/03/2021;ANONIMIZADO;***;Ronda Alta;RS;S;27;40;32;W;52;50;8;-;-;CUSTEIO;Feijão 1ª safra;30;-;2000;1300;0,65;45000;3600;0,08;900;10728;23/03/2020;2020;4316105;21325,98; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50604508;1046755;02/10/2019;02/10/2019;01/10/2020;ANONIMIZADO;***;Guarapuava;PR;S;25;32;51;W;51;28;18;-;-;CUSTEIO;Feijão 1ª safra;22,63;-;2600;1820;0,7;67890;4857,91;0,071555605;1700,27;8302;14/10/2019;2019;4109401;37950,51; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;50405381;1045711;30/08/2019;30/08/2019;29/08/2020;ANONIMIZADO;***;Sorriso;MT;S;13;14;45;W;55;51;17;-;-;CUSTEIO;Soja;120;-;3750;2625;0,7;351000;14001,38;0,039889972;4900,48;8150;27/09/2019;2019;5107925;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50615492;1054286;07/10/2019;07/10/2019;06/10/2020;ANONIMIZADO;***;Catalão;GO;S;18;1;14;W;47;48;54;-;-;CUSTEIO;Soja;44;-;3750;2625;0,7;51280;1059,78;0,020666537;370,92;8351;15/10/2019;2019;5205109;7978,01; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;51429508;1117037;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Nova Xavantina;MT;S;14;52;55;W;52;22;7;-;-;CUSTEIO;Soja;40;-;3750;2625;0,7;88990;3134,43;0,035222272;783,61;11181;02/04/2020;2020;5106257;42500,02; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;60055284;1985062;10/12/2024;10/12/2024;10/12/2025;ANONIMIZADO;***;Flórida;PR;-;-;-;-;-;-;-;-;-23,113442;-51,986807;CUSTEIO;Milho 2ª safra;122;-;4160;3120;0,75;1017144,32;69544,65;0,068372451;27817,86;9694;06/01/2025;2025;4108106;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;50704866;1039194;23/10/2019;23/10/2019;04/10/2020;ANONIMIZADO;***;Birigui;SP;S;21;11;6;W;50;22;47;-;-;CUSTEIO;Cana-de-açúcar;107;-;110;71,5;0,65;342935;5334,54;0,015555543;1867,09;8571;28/10/2019;2019;3506508;119591,55; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;51429498;1117344;31/03/2020;31/03/2020;31/03/2021;ANONIMIZADO;***;Nova Xavantina;MT;S;14;52;20;W;52;22;5;-;-;CUSTEIO;Soja;160;-;3750;2625;0,7;355960;12537,7;0,035222216;3134,43;11250;03/04/2020;2020;5106257;81423,29; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;50673950;1035788;11/10/2019;11/10/2019;10/10/2020;ANONIMIZADO;***;Riachão;MA;S;7;42;10;W;46;30;55;-;-;CUSTEIO;Milho 1ª safra;256,33;-;4950;3217,5;0,65;412870,73;39452,08;0,095555527;13808,23;8429;21/10/2019;2019;2109502;155265; CHUVA EXCESSIVA
Aliança do Brasil Seguros S/A.;15414901479201927;60054235;2020666;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Flórida;PR;-;-;-;-;-;-;-;-;-23,103638;-51,993394;CUSTEIO;Milho 2ª safra;38;-;4160;3120;0,75;315801,6;21592,12;0,068372421;8636,84;9668;06/01/2025;2025;4108106;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;53381177;1295000;29/12/2020;29/12/2020;29/12/2021;ANONIMIZADO;***;Paiçandu;PR;S;23;25;45;W;52;3;45;-;-;CUSTEIO;Milho 2ª safra;56,5;-;4982;3238,3;0,65;118650;11246,7;0,094788875;4498,68;17501;04/01/2021;2021;4117503;0; GEADA
Aliança do Brasil Seguros S/A.;15414901479201927;50690898;1048781;18/10/2019;18/10/2019;17/10/2020;ANONIMIZADO;***;Reserva do Iguaçu;PR;S;25;52;33;W;51;52;17;-;-;CUSTEIO;Soja;161,19;-;4200;3360;0,8;419094;14388,88;0,0343333;4316,66;8520;25/10/2019;2019;4121752;78328,67; SECA
Aliança do Brasil Seguros S/A.;15414901479201927;60054246;1984748;07/12/2024;07/12/2024;07/12/2025;ANONIMIZADO;***;Centenário do Sul;PR;-;-;-;-;-;-;-;-;-22,80918;-51,523706;CUSTEIO;Milho 2ª safra;167;-;4240;3180;0,75;1446379,36;98071,39;0,067804749;39228,55;9679;06/01/2025;2025;4105102;-;-
Aliança do Brasil Seguros S/A.;15414901479201927;52006752;1179199;31/07/2020;31/07/2020;31/07/2021;ANONIMIZADO;***;Paraúna;GO;S;17;1;5;W;50;41;23;-;-;CUSTEIO;Soja;56,59;-;3750;3000;0,8;217871,5;8496,98;0,038999961;2124,25;13136;03/08/2020;2020;5216403;4706,02; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;51682533;1125671;02/06/2020;02/06/2020;02/06/2021;ANONIMIZADO;***;Cascavel;PR;S;24;55;8;W;53;7;37;-;-;CUSTEIO;Trigo;58;-;2780;1807;0,65;87338,14;13974,1;0,159999973;5589,64;12278;04/06/2020;2020;4104808;57888,97; GRANIZO
Aliança do Brasil Seguros S/A.;15414901479201927;50727957;1050447;29/10/2019;29/10/2019;28/10/2020;ANONIMIZADO;***;Rio do Campo;SC;S;26;53;37;W;50;10;52;-;-;CUSTEIO;Arroz;12,78;-;7770;5439;0,7;44730;1640,1;0,036666667;574,04;8730;06/11/2019;2019;4214508;22870,45; VARIAÇÃO EXCESSIVA DE TEMPERATURA
